"ID_Caso","PS_ADOLESCENTE_Idade","PS_ADOLESCENTE_Nome","Modificado","Criado","Criado por"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:58","29/09/2025 12:58","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"94","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"177","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"363","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"244","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"219","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"337","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
"348","10 meses","Aurora","29/09/2025 12:59","29/09/2025 12:59","Aplicativos STI"
